aspect,category,term,count,rank
"Methods or actions of Suicide, Self Harm or harming others",Addiction,prescription,1,1
"Methods or actions of Suicide, Self Harm or harming others",Animal Abuse,dog,1,1
"Methods or actions of Suicide, Self Harm or harming others",Animal Abuse,jerk,1,2
"Methods or actions of Suicide, Self Harm or harming others",Animal Abuse,my,1,3
"Methods or actions of Suicide, Self Harm or harming others",Animal Abuse,off,1,4
"Methods or actions of Suicide, Self Harm or harming others",Arson,arson,2,1
"Methods or actions of Suicide, Self Harm or harming others",Arson,commit,1,2
"Methods or actions of Suicide, Self Harm or harming others",Arson,committ,1,3
"Methods or actions of Suicide, Self Harm or harming others",Assault,of,3,1
"Methods or actions of Suicide, Self Harm or harming others",Assault,them,3,2
"Methods or actions of Suicide, Self Harm or harming others",Assault,beat,2,3
"Methods or actions of Suicide, Self Harm or harming others",Assault,fuck,2,4
"Methods or actions of Suicide, Self Harm or harming others",Assault,out,2,5
"Methods or actions of Suicide, Self Harm or harming others",Assault,the,2,6
"Methods or actions of Suicide, Self Harm or harming others",Assault,all,1,7
"Methods or actions of Suicide, Self Harm or harming others",Assault,amount,1,8
"Methods or actions of Suicide, Self Harm or harming others",Assault,anti,1,9
"Methods or actions of Suicide, Self Harm or harming others",Assault,ing,1,10
"Methods or actions of Suicide, Self Harm or harming others",Assisted Suicide,do,1,1
"Methods or actions of Suicide, Self Harm or harming others",Assisted Suicide,for,1,2
"Methods or actions of Suicide, Self Harm or harming others",Assisted Suicide,have,1,3
"Methods or actions of Suicide, Self Harm or harming others",Assisted Suicide,me,1,4
"Methods or actions of Suicide, Self Harm or harming others",Assisted Suicide,pay,1,5
"Methods or actions of Suicide, Self Harm or harming others",Assisted Suicide,someone,1,6
"Methods or actions of Suicide, Self Harm or harming others",Assisted Suicide,thi,1,7
"Methods or actions of Suicide, Self Harm or harming others",Assisted Suicide,to,1,8
"Methods or actions of Suicide, Self Harm or harming others",Biting,my,29,1
"Methods or actions of Suicide, Self Harm or harming others",Biting,bit,26,2
"Methods or actions of Suicide, Self Harm or harming others",Biting,bite,15,3
"Methods or actions of Suicide, Self Harm or harming others",Biting,the,10,4
"Methods or actions of Suicide, Self Harm or harming others",Biting,of,8,5
"Methods or actions of Suicide, Self Harm or harming others",Biting,arm,6,6
"Methods or actions of Suicide, Self Harm or harming others",Biting,myself,6,7
"Methods or actions of Suicide, Self Harm or harming others",Biting,skin,6,8
"Methods or actions of Suicide, Self Harm or harming others",Biting,and,5,9
"Methods or actions of Suicide, Self Harm or harming others",Biting,off,5,10
"Methods or actions of Suicide, Self Harm or harming others",Blunt Force Trauma,handle,6,1
"Methods or actions of Suicide, Self Harm or harming others",Blunt Force Trauma,cock,2,2
"Methods or actions of Suicide, Self Harm or harming others",Blunt Force Trauma,crush,2,3
"Methods or actions of Suicide, Self Harm or harming others",Blunt Force Trauma,ball,1,4
"Methods or actions of Suicide, Self Harm or harming others",Blunt Force Trauma,broomstick,1,5
"Methods or actions of Suicide, Self Harm or harming others",Blunt Force Trauma,by,1,6
"Methods or actions of Suicide, Self Harm or harming others",Blunt Force Trauma,et,1,7
"Methods or actions of Suicide, Self Harm or harming others",Blunt Force Trauma,fish,1,8
"Methods or actions of Suicide, Self Harm or harming others",Blunt Force Trauma,head,1,9
"Methods or actions of Suicide, Self Harm or harming others",Blunt Force Trauma,hockey,1,10
"Methods or actions of Suicide, Self Harm or harming others",Blunt force trauma,head,3,1
"Methods or actions of Suicide, Self Harm or harming others",Blunt force trauma,alcohol,1,2
"Methods or actions of Suicide, Self Harm or harming others",Blunt force trauma,bash,1,3
"Methods or actions of Suicide, Self Harm or harming others",Blunt force trauma,bloody,1,4
"Methods or actions of Suicide, Self Harm or harming others",Blunt force trauma,build,1,5
"Methods or actions of Suicide, Self Harm or harming others",Blunt force trauma,drop,1,6
"Methods or actions of Suicide, Self Harm or harming others",Blunt force trauma,into,1,7
"Methods or actions of Suicide, Self Harm or harming others",Blunt force trauma,jump,1,8
"Methods or actions of Suicide, Self Harm or harming others",Blunt force trauma,my,1,9
"Methods or actions of Suicide, Self Harm or harming others",Blunt force trauma,off,1,10
"Methods or actions of Suicide, Self Harm or harming others",Bombing,bomber,1,1
"Methods or actions of Suicide, Self Harm or harming others",Bombing,plane,1,2
"Methods or actions of Suicide, Self Harm or harming others",Bone Breaking,my,13,1
"Methods or actions of Suicide, Self Harm or harming others",Bone Breaking,break,9,2
"Methods or actions of Suicide, Self Harm or harming others",Bone Breaking,bone,6,3
"Methods or actions of Suicide, Self Harm or harming others",Bone Breaking,broke,5,4
"Methods or actions of Suicide, Self Harm or harming others",Bone Breaking,in,5,5
"Methods or actions of Suicide, Self Harm or harming others",Bone Breaking,and,4,6
"Methods or actions of Suicide, Self Harm or harming others",Bone Breaking,head,4,7
"Methods or actions of Suicide, Self Harm or harming others",Bone Breaking,myself,4,8
"Methods or actions of Suicide, Self Harm or harming others",Bone Breaking,of,4,9
"Methods or actions of Suicide, Self Harm or harming others",Bone Breaking,the,4,10
"Methods or actions of Suicide, Self Harm or harming others",Burning,burn,147,1
"Methods or actions of Suicide, Self Harm or harming others",Burning,my,82,2
"Methods or actions of Suicide, Self Harm or harming others",Burning,myself,63,3
"Methods or actions of Suicide, Self Harm or harming others",Burning,on,49,4
"Methods or actions of Suicide, Self Harm or harming others",Burning,fire,42,5
"Methods or actions of Suicide, Self Harm or harming others",Burning,and,37,6
"Methods or actions of Suicide, Self Harm or harming others",Burning,the,33,7
"Methods or actions of Suicide, Self Harm or harming others",Burning,cut,28,8
"Methods or actions of Suicide, Self Harm or harming others",Burning,with,26,9
"Methods or actions of Suicide, Self Harm or harming others",Burning,cutt,22,10
"Methods or actions of Suicide, Self Harm or harming others",Chemical Burns,bleach,7,1
"Methods or actions of Suicide, Self Harm or harming others",Chemical Burns,my,5,2
"Methods or actions of Suicide, Self Harm or harming others",Chemical Burns,on,4,3
"Methods or actions of Suicide, Self Harm or harming others",Chemical Burns,with,4,4
"Methods or actions of Suicide, Self Harm or harming others",Chemical Burns,acid,3,5
"Methods or actions of Suicide, Self Harm or harming others",Chemical Burns,as,3,6
"Methods or actions of Suicide, Self Harm or harming others",Chemical Burns,lube,3,7
"Methods or actions of Suicide, Self Harm or harming others",Chemical Burns,and,2,8
"Methods or actions of Suicide, Self Harm or harming others",Chemical Burns,arrow,2,9
"Methods or actions of Suicide, Self Harm or harming others",Chemical Burns,bow,2,10
"Methods or actions of Suicide, Self Harm or harming others",Choking,me,4,1
"Methods or actions of Suicide, Self Harm or harming others",Choking,and,1,2
"Methods or actions of Suicide, Self Harm or harming others",Choking,around,1,3
"Methods or actions of Suicide, Self Harm or harming others",Choking,by,1,4
"Methods or actions of Suicide, Self Harm or harming others",Choking,chok,1,5
"Methods or actions of Suicide, Self Harm or harming others",Choking,choke,1,6
"Methods or actions of Suicide, Self Harm or harming others",Choking,drag,1,7
"Methods or actions of Suicide, Self Harm or harming others",Choking,grab,1,8
"Methods or actions of Suicide, Self Harm or harming others",Choking,neck,1,9
"Methods or actions of Suicide, Self Harm or harming others",Choking,the,1,10
